Noise,Qwen2.5-1.5B-Instruct,Qwen3-8B,Qwen2.5-7B-Instruct-bnb-4bit,DistilQwen2.5-3B-Instruct,Qwen2.5-7B-Instruct-AWQ,Qwen2.5-7B-Instruct-bnb-8bit,Qwen2.5-7B-Instruct,Qwen2.5-3B-Instruct
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,True,False,True,True,True,False
Coupled,False,True,True,False,True,True,True,False
Coupled,False,True,False,False,True,False,False,False
Coupled,False,True,False,False,True,True,False,False
Coupled,False,True,False,False,True,True,True,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,True,True,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,True,True,True,False
Coupled,False,True,False,False,True,True,True,False
Coupled,False,True,True,True,False,True,True,False
Coupled,False,True,False,False,True,True,True,False
Coupled,False,True,False,True,True,True,True,False
Coupled,True,True,False,False,True,True,True,False
Coupled,False,True,False,False,False,True,True,False
Coupled,False,True,False,True,True,True,False,False
Coupled,False,True,False,True,True,True,True,False
Coupled,False,True,False,False,True,True,True,False
Coupled,True,True,True,True,False,True,True,False
Coupled,False,True,True,False,True,True,True,False
Coupled,False,True,True,False,True,True,True,False
Coupled,False,True,True,False,True,True,True,False
Coupled,False,True,True,True,True,True,True,False
Coupled,False,True,True,False,True,True,True,False
Coupled,False,True,True,False,True,True,True,False
Coupled,False,True,True,False,True,True,True,False
Coupled,False,True,True,False,True,True,True,False
Coupled,False,True,True,False,True,True,True,False
Coupled,False,True,True,True,True,True,True,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,True,False,False,True,True,False
Coupled,False,True,True,False,False,False,False,False
Coupled,False,True,True,False,True,True,True,False
Coupled,False,True,True,False,True,True,True,False
Coupled,False,True,True,False,False,False,False,False
Coupled,False,True,True,False,False,True,True,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,True,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,False,False,False,False,False,False,False
Coupled,False,True,False,False,True,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,True,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,True,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,True,True,False,False,False
Coupled,False,True,False,True,True,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,False,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,False,False,True,False,False,False,False
Coupled,False,True,False,True,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,False,False,False,False,False,False,False
Coupled,False,True,False,True,False,False,False,False
Coupled,False,True,False,True,False,False,False,False
Coupled,True,True,True,True,False,False,False,True
Coupled,False,True,True,False,False,False,False,False
Coupled,True,True,True,False,False,False,False,False
Coupled,False,True,True,False,False,False,False,False
Coupled,True,True,True,True,False,False,False,True
Coupled,True,True,True,True,False,False,False,True
Coupled,True,True,True,True,False,False,False,False
Coupled,True,True,True,True,False,False,False,False
Coupled,False,True,True,False,False,False,False,False
Coupled,True,True,True,True,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,True,True,False,True,True,False
Coupled,False,True,True,False,False,True,True,False
Coupled,False,True,False,False,False,True,True,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,True,True,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,True,True,True,True,True,True,True,True
Coupled,True,True,True,True,True,True,True,True
Coupled,True,True,True,True,True,True,True,True
Coupled,True,True,True,True,True,True,True,True
Coupled,True,True,True,True,True,True,True,True
Coupled,True,True,True,True,True,True,True,True
Coupled,True,True,True,True,True,True,True,True
Coupled,True,True,True,True,True,True,True,True
Coupled,True,True,True,True,True,True,True,True
Coupled,True,True,True,True,True,True,True,True
Coupled,True,True,False,False,False,False,False,True
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,True,True,False,True,False,False,False,True
Coupled,False,True,False,False,False,False,False,True
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,True,True,True,False
Coupled,False,True,False,False,True,False,False,False
Coupled,False,True,False,False,True,True,True,False
Coupled,False,True,False,False,False,True,True,False
Coupled,False,True,True,False,True,True,True,False
Coupled,False,True,False,False,True,False,True,False
Coupled,False,True,False,False,True,False,False,False
Coupled,False,True,False,False,True,True,True,False
Coupled,False,True,True,False,False,False,True,False
Coupled,False,True,False,False,True,True,True,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,False,True,False,False,False,False,False,False
Coupled,True,False,True,True,True,True,True,True
Coupled,True,True,True,True,True,True,True,True
Coupled,True,False,True,True,True,True,True,True
Coupled,True,False,True,True,True,True,True,True
Coupled,True,False,True,True,True,True,True,True
Coupled,True,False,True,True,True,True,True,True
Coupled,True,False,True,True,True,True,True,True
Coupled,True,False,True,True,True,True,True,True
Coupled,True,False,True,True,True,True,True,True
Coupled,True,True,True,True,True,True,True,True
Coupled,True,True,False,False,True,False,False,False
